SRR1164713_1.fastq.gz	FN0170712.06.41.01.M5_R1_3.fastq.gz
SRR1164714_1.fastq.gz	FN0170712.06.41.01.M5_R1_4.fastq.gz
SRR1164715_1.fastq.gz	FN0170712.06.41.01.M5_R1_5.fastq.gz
SRR1164716_1.fastq.gz	FN0170712.06.41.01.M5_R1_6.fastq.gz
SRR1164717_1.fastq.gz	FN0170712.06.41.01.M5_R1_7.fastq.gz
SRR1164718_1.fastq.gz	FN0170712.06.41.01.M5_R1_8.fastq.gz
SRR1164711_2.fastq.gz	FN0170712.06.41.01.M5_R2_1.fastq.gz
SRR1164712_2.fastq.gz	FN0170712.06.41.01.M5_R2_2.fastq.gz
SRR1164713_2.fastq.gz	FN0170712.06.41.01.M5_R2_3.fastq.gz
SRR1164714_2.fastq.gz	FN0170712.06.41.01.M5_R2_4.fastq.gz
SRR1164715_2.fastq.gz	FN0170712.06.41.01.M5_R2_5.fastq.gz
SRR1164716_2.fastq.gz	FN0170712.06.41.01.M5_R2_6.fastq.gz
SRR1164717_2.fastq.gz	FN0170712.06.41.01.M5_R2_7.fastq.gz
SRR1164718_2.fastq.gz	FN0170712.06.41.01.M5_R2_8.fastq.gz
SRR1164639_1.fastq.gz	FN0171501.01.02.M4_R1_1.fastq.gz
SRR1164640_1.fastq.gz	FN0171501.01.02.M4_R1_2.fastq.gz
SRR1164641_1.fastq.gz	FN0171501.01.02.M4_R1_3.fastq.gz
SRR1164642_1.fastq.gz	FN0171501.01.02.M4_R1_4.fastq.gz
SRR1164643_1.fastq.gz	FN0171501.01.02.M4_R1_5.fastq.gz
SRR1164644_1.fastq.gz	FN0171501.01.02.M4_R1_6.fastq.gz
SRR1164645_1.fastq.gz	FN0171501.01.02.M4_R1_7.fastq.gz
SRR1164646_1.fastq.gz	FN0171501.01.02.M4_R1_8.fastq.gz
SRR1164639_2.fastq.gz	FN0171501.01.02.M4_R2_1.fastq.gz
